Partition EE988822-1E49-4F77-8CE0-9D6851307685
GroundHeightEntityData 02E07412-5B5C-442E-908C-C74EA4703F78
    $::SpatialEntityData
        $::EntityData
            $::GameObjectData
                $::GameDataContainer
                    $::DataContainer
                IsEventConnectionTarget 3
                IsPropertyConnectionTarget 3
                IndexInBlueprint 109
        Transform::LinearTransform
            right::Vec3
                x 1.0
                y 0.0
                z 0.0
            up::Vec3
                x 0.0
                y 1.0
                z 0.0
            forward::Vec3
                x 0.0
                y 0.0
                z 1.0
            trans::Vec3
                x 1407.57531738
                y 94.2888183594
                z -1270.5526123
    Data::GroundHeightData
        WorldSize 1400.0
        HeightSpan::Vec2
            x -50.6944046021
            y 107.917388916
        Data::array
            member(0) 6171
            member(1) 6171
            member(2) 6171
            member(3) 6171
            member(4) 6171
            member(5) 6171
            member(6) 6171
            member(7) 6171
            member(8) 6171
            member(9) 6171
            member(10) 6159
            member(11) 6120
            member(12) 5965
            member(13) 5681
            member(14) 5287
            member(15) 4951
            member(16) 4687
            member(17) 4364
            member(18) 3867
            member(19) 3266
            member(20) 2666
            member(21) 2240
            member(22) 2136
            member(23) 2130
            member(24) 2214
            member(25) 2401
            member(26) 2608
            member(27) 2853
            member(28) 3085
            member(29) 3318
            member(30) 3641
            member(31) 3925
            member(32) 4248
            member(33) 4622
            member(34) 4984
            member(35) 5423
            member(36) 5862
            member(37) 6404
            member(38) 7908
            member(39) 9025
            member(40) 10794
            member(41) 10510
            member(42) 10265
            member(43) 10265
            member(44) 9929
            member(45) 9929
            member(46) 12234
            member(47) 12176
            member(48) 12163
            member(49) 13725
            member(50) 16617
            member(51) 18115
            member(52) 18438
            member(53) 19432
            member(54) 21330
            member(55) 23332
            member(56) 25849
            member(57) 29904
            member(58) 34668
            member(59) 40944
            member(60) 50266
            member(61) 54914
            member(62) 59072
            member(63) 65535
            member(64) 6171
            member(65) 6171
            member(66) 6171
            member(67) 6171
            member(68) 6171
            member(69) 6171
            member(70) 6171
            member(71) 6171
            member(72) 6171
            member(73) 6171
            member(74) 6171
            member(75) 6159
            member(76) 6120
            member(77) 6042
            member(78) 5913
            member(79) 5791
            member(80) 5681
            member(81) 5481
            member(82) 5055
            member(83) 4390
            member(84) 3570
            member(85) 2750
            member(86) 2143
            member(87) 2130
            member(88) 2136
            member(89) 2304
            member(90) 2504
            member(91) 2685
            member(92) 2905
            member(93) 3176
            member(94) 3460
            member(95) 3731
            member(96) 4028
            member(97) 4364
            member(98) 4738
            member(99) 5151
            member(100) 5616
            member(101) 6113
            member(102) 7521
            member(103) 8799
            member(104) 10523
            member(105) 9277
            member(106) 9154
            member(107) 9328
            member(108) 9264
            member(109) 11227
            member(110) 12382
            member(111) 12292
            member(112) 12640
            member(113) 14409
            member(114) 16914
            member(115) 18761
            member(116) 20620
            member(117) 23319
            member(118) 26366
            member(119) 28574
            member(120) 30343
            member(121) 33932
            member(122) 40208
            member(123) 45656
            member(124) 50957
            member(125) 53010
            member(126) 56225
            member(127) 56225
            member(128) 6171
            member(129) 6171
            member(130) 6171
            member(131) 6171
            member(132) 6171
            member(133) 6171
            member(134) 6171
            member(135) 6171
            member(136) 6171
            member(137) 6171
            member(138) 6171
            member(139) 6171
            member(140) 6165
            member(141) 6146
